index,address_1,address_2,name,expiration_date
1093,SŁAWKOWSKA,26,"CZYŻYCKI TOMASZ, WIŚNIEWSKI SŁAWOMIR",2022-04-04
1094,SŁAWKOWSKA,29,NOWOROLSKI WOJCIECH,2023-06-09
1095,SŁAWKOWSKA,32,HAWEŁKA SPÓŁKA Z O. O.,2021-06-14
1096,SŁAWKOWSKA,4/2,BATYCKI DARIUSZ,2022-05-13
1097,SŁAWKOWSKA,5/7,WAWEL-IMOS INTERNATIONAL SPÓKA AKCYJNA,2024-06-19
1098,SŁAWKOWSKA,13-15,"PASTABAR BEATA SEWERYN, NATALIA GROCHAL SPÓŁKA JAWNA",2023-12-31
1099,SŁAWKOWSKA,13-15,"DZIEWAŁTOWSKI-GINTOWT ANDRZEJ, BERUS SŁAWOMIR, MARKOWSKA KATARZYNA",2020-08-04
1100,SŁAWKOWSKA,13-15,"NYKIEL WOJCIECH, NYKIEL BEATA",2023-05-16
1101,SŁAWKOWSKA,13-15,"MOCHACKA ELŻBIETA, MOSNA WOJCIECH",2027-04-30
1102,SŁAWKOWSKA,13-15,"BOGACKA EWELINA, RAI SURENDRA",2023-04-09
1103,SŁAWKOWSKA,24A,WĄSOWICZ KRZYSZTOF,2026-11-25
1104,SŁOMIANA,17,GRONO SMAKÓW SPÓŁKA Z O.O.,2023-04-08
1105,SMĘTNA,8,SKOTNICZNY JAKUB,2023-08-31
1106,SODOWA,7/2U,SPÓŁDZIELNIA MIESZKANIOWA IM. STANISŁAWA STASZICA,2020-08-20
1107,SOLIDARNOŚCI,20,ZIĘTEK PIOTR,2021-09-13
1108,SOŁTYSOWSKA,25B,GEOVITA S. A.,2020-02-10
1109,SOŁTYSOWSKA,37A,AMG TRADING SPÓŁKA Z O. O.,2020-02-10
1110,SPÓŁDZIELCÓW,3,"KOZIEŁ TOMASZ, WŁODARCZYK TOMASZ",2022-07-16
1111,SPÓŁDZIELCÓW,3,BARAN ZDZISŁAWA,2023-02-19
1112,STANISŁAWA DZIAŁOWSKIEGO,1,TABOR MARCIN,2027-05-09
1113,STANISŁAWA LEMA,7,META SPÓŁKA Z O.O.,2021-05-26
1114,STANISŁAWA LEMA,7,META SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,2020-07-24
1115,STANISŁAWA SKARŻYŃSKIEGO,1,FUNDACJA SAMORZĄDU STUDENTÓW POLITECHNIKI KRAKOWSKIEJ,2023-01-31
1116,STANISŁAWA SMOLKI,11 A,JÓŹWIK SEBASTIAN,2021-09-07
1117,STAŃCZYKA,14 / 3,PĄTKO KATARZYNA,2021-01-27
1118,STAROMOSTOWA,1,PIOTR MERTA,2024-03-31
1119,STAROWIŚLNA,6,NGUYEN THI NGOC ANH,2022-03-20
1120,STAROWIŚLNA,12,"ORŁOWSKI TOMASZ, HUĆKO MARIUSZ",2023-09-20
1121,STAROWIŚLNA,16,CENTRUM ROZRYWKI ART CLUB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2026-12-31
1122,STAROWIŚLNA,27,STARAK PRZEMYSŁAW,2020-07-22
1123,STAROWIŚLNA,32,"BULIŃSKA-JAKUBOWICZ BEATA, JAKUBOWICZ MARIUSZ",2022-09-13
1124,STAROWIŚLNA,35,SZYMAŃSKA-PUCHAŁA EWA,2021-01-02
1125,STAROWIŚLNA,36,"SOLARZ ANNA, PERTKIEWICZ MACIEJ",2023-04-30
1126,STAROWIŚLNA,46,NGUYEN THI NGOC ANH,2020-02-10
1127,STAROWIŚLNA,48,IHG POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2027-03-14
1128,STAROWIŚLNA,57,"SKROBACZ MARIA, SKROBACZ PAWEŁ, SKROBACZ STANISŁAW",2022-07-08
1129,STAROWIŚLNA,60,RAJPOLD ADAM,2023-01-22
1130,STAROWIŚLNA,62,KRACOW RESIDENCE SP ZO.O,2021-06-21
1131,STAROWIŚLNA,71,KONS-KRAK SPÓŁKA JAWNA ANDRZEJ JAWORSKI MAREK WIDUR,2023-04-20
1132,STAROWIŚLNA,79,JAWORSKI STANISŁAW,2026-10-26
1133,STAROWIŚLNA,91,METROPOLIS DESIGN HOTEL SPÓŁKA Z O. O. S. K. A.,2022-09-07
1134,STAROWIŚLNA,95,SHLIABANSKYI ANDRII,2023-09-06
1135,STAROWIŚLNA,14/2,"BLICHARSKA-MÓL ANNA, JAROSZ JOANNA",2023-08-08
1136,STAROWIŚLNA,15A,DONIMIRSKI JERZY,2020-06-04
1137,STAROWIŚLNA,15A,"SCHMIDT ARTUR, PIEROŻYŃSKI MARCIN",2026-04-15
1138,STAROWIŚLNA,22/U5,KOŁAKOWSKI MARIUSZ,2027-03-31
1139,STAROWIŚLNA,97/LU2,AMALIA SPÓŁKA Z O. O. SPÓŁKA KOMANDYTOWA,2025-12-07
1140,STAWOWA,61,POLAKOWSKI GALERIE SPÓŁKA Z O.O.,2021-10-06
1141,STAWOWA,61,KHAN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2027-03-10
1142,STAWOWA,61 lok. 141,"BŁESZYŃSKA - WOJDYŁA ANNA, STYRYLSKI KRZYSZTOF",2020-04-15
1143,STAWOWA,61 lok. 145,"""AMREST"" SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA",2027-02-27
1144,STAWOWA,61 lok. 147,RESTAURACJA BRONOWICE SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPÓŁKA,2026-12-05
1145,STEFANA BATOREGO,1,"WRONA ADRIAN, LEŚNIAK MIŁOSZ, RAFAŁ SZUBA",2024-05-10
1146,STEFANA BATOREGO,1,JUN INTERNATIONAL SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPÓŁKA KOMANDYTOWA,2027-04-22
1147,STEFANA KORBOŃSKIEGO,27A,RESTAURACJA LA FORCHETTA PAMUŁA KOZANECKA SPÓŁKA JAWNA,2020-08-20
1148,STEFANA OTWINOWSKIEGO,6,SIWEK JACEK,2023-04-11
1149,STOLARSKA,3,STOLARSKA 3 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2021-03-20
1150,STOLARSKA,5,DANIELAK FILIP,2023-10-22
1151,STOLARSKA,5,BARTUCH ANDRZEJ,2026-04-30
1152,STOLARSKA,5,SAWICKA-DANIELAK MARTA,2026-11-21
1153,STOLARSKA,6,"PILARSKI  MARCIN, PILARSKA ANNA",2022-01-23
1154,STOLARSKA,6,CIBA MARCIN,2023-10-15
1155,STOLARSKA,8,RENKE GRZEGORZ,2020-06-25
1156,STOLARSKA,10,SAROTA JAROSŁAW,2022-03-07
1157,STOLARSKA,11,JARZĘBAK ANDRZEJ,2019-06-26
1158,STOLARSKA,13,ORIENT EKSPRES RESTAURACJA PRZYBYLSKI I SEWERYN SPÓŁKA JAWNA,2023-01-26
1159,STOLARSKA,13,DYDYŃSKI PAWEŁ,2022-08-09
1160,STOLARSKA,13,"SKORULSKI KRZYSZTOF, GUBAŁA MIECZYSŁAW",2025-05-10
1161,STOLARSKA,5/3,PAUZA SPÓŁKA Z O.O. SPÓŁKA KOMANDYTOWA,2021-11-17
1162,STOLARSKA,6/1,RAPICKA-SIKORSKA MAGDALENA,2022-09-29
1163,STOLARSKA,8/10,DANIELAK FILIP,2019-08-17
1164,STOLARSKA,8-10,RENKE JANUSZ,2022-04-09
1165,STRADOMSKA,1,MAJ PAWEŁ,2026-12-31
1166,STRADOMSKA,11,BROKREACJA SPÓŁKA Z O. O.,2025-09-06
1167,STRADOMSKA,11,"CHOHAN SUKHIBIR SINGH, KHOLOO MANZOOR",2026-11-27
1168,STRADOMSKA,13,KD PROGRESS SPÓŁKA Z O. O.,2020-09-30
1169,STRADOMSKA,13,THI BI NGUYEN,2021-09-07
1170,STRADOMSKA,19,"RADWAŃSKA ALEKSANDRA, RADWAŃSKI ANDRZEJ",2022-08-07
1171,STRADOMSKA,23,ROMANOWSKI MACIEJ,2021-04-03
1172,STRADOMSKA,15/U1,OLELO SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPÓŁKA KOMANDYTOWA,2027-01-09
1173,STRASZEWSKIEGO,16,MIKULSKI MICHAŁ,2026-12-01
1174,STRASZEWSKIEGO,17,"""UBM - HPG"" SPÓŁKA Z O. O.",2019-06-30
1175,STRASZEWSKIEGO,17,"""UBM - HPG"" SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA",2027-06-30
1176,STRUMIENNA,10,SHPAK FAMILY SPÓŁKA Z O. O.,2020-04-22
1177,STRZELCÓW,26,JONASZ SPÓŁKA Z O. O.,2019-12-29
1178,STUDENCKA,15,GOSŁAWSKI KONRAD,2026-11-14
1179,SUKIENNICZA,8/UC5,"KLAINA-KOZIEŁ DOROTA, KOZIEŁ TOMASZ",2020-09-22
1180,SZCZEPAŃSKA,1,ACTION GROUP SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,2027-03-21
1181,SZCZEPAŃSKA,1,"FRANCZAK PAWEŁ, KULISA PAWEŁ",2027-01-31
1182,SZCZEPAŃSKA,3,WANOWICZ MAŁGORZATA,2021-07-31
1183,SZCZEPAŃSKA,3,SMĘDER TOMASZ,2023-04-10
1184,SZCZEPAŃSKA,5,HOLDING LIWA SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,2027-03-12
1185,SZCZEPAŃSKA,7,KAMIŃSKA KAROLINA,2021-05-31
1186,SZCZEPAŃSKA,3/1,"DUDEK MARCIN, ZIMNIAK MAREK",2020-03-19
1187,SZCZEPAŃSKI,2,MAISON CHARLOTTE SPÓŁKA Z O.O.,2022-05-17
1188,SZCZEPAŃSKI,3,"SMĘDER TOMASZ, WYROBEK MACIEJ",2023-01-09
1189,SZCZEPAŃSKI,6,SOCHA RAFAŁ,2021-05-10
1190,SZCZEPAŃSKI,7,THE SQUARE SPÓŁKA Z O. O.,2022-06-30
1191,SZCZEPAŃSKI,9,TRIBECA POLAND SPÓŁKA Z O. O.,2022-10-04
1192,SZCZEPAŃSKI,3A,BUNKIER CAFE WITYŃSKI ŻAKOWSKI SPÓŁKA JAWNA,2023-02-28
1193,SZEROKA,2,STOPKA GABRIELA KUCHNIA KOLEKTYW,2022-12-06
1194,SZEROKA,6,KLEZMERHOJS SPÓŁKA Z O.O.,2023-09-30
1195,SZEROKA,12,AMICUS SPÓŁKA Z O.O.,2021-11-15
1196,SZEROKA,13,STB GROUP SP. Z O.O.,2026-04-10
1197,SZEROKA,14,"""BELMAR M.KUŁAGA SPÓŁKA JAWNA""",2027-04-14
1198,SZEROKA,17,RESTAURACJA ŻYDOWSKA ARIEL SPÓŁKA Z O. O.,2023-01-08
1199,SZEROKA,18,RESTAURACJA ŻYDOWSKA ARIEL SPÓŁKA Z O.O.,2022-03-20
1200,SZEROKA,20,AFT HOTEL SPÓŁKA Z O.O.,2021-06-30
1201,SZEROKA,20,ŁADOCHA MAGDALENA,2027-02-28
1202,SZEROKA,22,DUDEK MARCIN,2021-09-12
1203,SZEROKA,30,KORSAK WITOLD,2023-12-31
1204,SZEROKA,32,PAWLIK SEBASTIAN,2023-07-08
1205,SZEROKA,39,ROSEBUD SPÓŁKA Z O. O.,2024-04-26
1206,SZEROKA,9-10,JANUCHTA MARIAN,2020-03-26
1207,SZEROKA,10/2,WADOWSKA MARTA,2019-12-28
1208,SZEWSKA,5,S EVENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ  SPÓŁKA KOMANDYTOWA,2027-01-17
1209,SZEWSKA,6,LEE CHANG-LUNG,2022-10-19
1210,SZEWSKA,7,4 STARS SPÓŁKA Z O.O.,2023-07-16
1211,SZEWSKA,10,F&M INWESTYCJE SP. Z O.O. SP. K.,2026-04-16
1212,SZEWSKA,12,BRANDYS JADWIGA,2021-02-08
1213,SZEWSKA,14,CZERNECKA MARIA,2022-02-06
1214,SZEWSKA,14,WARMUZ ŁUKASZ,2023-09-05
1215,SZEWSKA,17,OUERFELLI NAOUFEL,2023-03-07
1216,SZEWSKA,18,DRINK-BAR BACHUS AIGARS MIHELSONS SOÓŁKA JAWNA,2020-12-08
1217,SZEWSKA,20,MEX BISTRO I SPÓŁKA Z O. O.,2022-12-19
1218,SZEWSKA,21,SOKOŁOWSKA-NIEMIEC EWELINA,2021-05-12
1219,SZEWSKA,22,PIZZATOPIA SPÓŁKA Z O.O.,2022-07-20
